Bike_id,Publish_period,Purchase_Date,Price_down_date,Departure_Date,Distance_travelled,Color,Country_Sold,N_Photos,Price_Orig,Price_Curr,N_Inquires
XL3-1095127,14,11/04/02,11/03/29,11/05/17,123525,Silver,Vietnam,27,110000,90000,34
XL3-1123648,28,11/04/09,11/04/09,11/06/13,120000,Silver,Vietnam,28,110000,110000,53
XL3-1139930,24,11/04/22,11/04/15,11/06/15,149374,Silver,Vietnam,27,130000,110000,34
XL3-1277412,38,11/04/22,11/04/01,11/07/09,112167,Black,Vietnam,26,150000,110000,58
XL3-1513147,22,11/04/26,11/04/08,11/08/09,126000,Black,Vietnam,29,150000,120000,20
XL3-1146406,59,11/06/17,11/06/06,11/10/01,154117,Silver,Laos,28,150000,115000,73
XL3-1174578,35,11/04/29,11/04/09,11/07/11,118231,Black,Vietnam,28,150000,100000,76
XL3-1187459,29,11/05/19,11/05/19,11/06/24,156797,Pink,Cambodia,27,150000,150000,33
XL3-1565565,70,11/05/20,11/05/07,11/11/14,152682,Silver,Vietnam,27,140000,90000,99
XL3-1040052,13,11/05/24,11/05/24,11/07/11,116000,Blue,Vietnam,27,130000,120000,19
XL3-1194407,29,11/05/25,11/05/01,11/07/11,117445,Black,Vietnam,28,150000,110000,29
XL3-1192590,47,11/06/01,11/04/26,11/08/09,169969,Blue,Vietnam,27,150000,135000,28
XL3-1121243,80,11/06/04,11/05/18,11/09/30,181326,White,Vietnam,27,130000,70000,105
XL3-1231451,40,11/06/08,11/06/08,11/08/09,115107,Blue,Vietnam,27,150000,120000,19
XL3-1239031,49,11/06/09,11/05/21,11/11/01,99128,Blue,Vietnam,28,110000,80000,132
XL3-1190257,24,11/06/11,11/06/09,11/08/09,31164,Silver,Vietnam,28,130000,110000,38
XL3-1182288,14,11/06/24,11/06/11,11/07/24,103476,Silver,New Zealand,28,130000,110000,36
XL3-1166511,28,11/06/27,11/06/06,11/08/09,111005,Black,Cambodia,28,170000,120000,24
XL3-1204750,18,11/06/30,11/06/15,11/08/09,118660,Black,Vietnam,28,130000,110000,42
XL3-1187829,60,11/07/09,11/05/23,11/10/06,167841,Black,Vietnam,27,150000,100000,69
XL3-1230947,22,11/07/09,11/06/24,11/10/01,175035,Silver,Vietnam,27,130000,115000,20
XL3-1562678,22,11/07/12,11/06/28,11/09/14,171000,Black,Vietnam,28,150000,120000,17
XL3-1000384,20,11/08/04,11/07/20,11/10/19,107356,Silver,Cambodia,26,150000,110000,62
XL3-1225553,8,11/08/19,11/08/16,11/09/22,110500,Silver,New Zealand,27,130000,110000,18
XL3-1021762,4,11/08/20,11/08/17,11/09/14,165490,Pink,Laos,27,110000,100000,13
XL3-1534541,42,11/09/07,11/08/01,11/11/14,104787,Black,Laos,28,140000,120000,83
XL3-1217862,22,11/09/13,11/09/05,11/11/01,117508,Silver,Vietnam,27,150000,130000,48
XL3-1247930,31,11/09/15,11/09/05,11/11/14,120830,Black,Vietnam,28,130000,115000,41
XL3-1230859,18,11/09/30,11/09/30,11/11/01,162899,Silver,Vietnam,28,90000,90000,57
XL3-1239127,16,11/09/30,11/09/30,11/11/01,64009,Silver,Vietnam,28,150000,150000,14
XL3-1015709,65,11/10/17,11/10/11,12/01/30,147106,Silver,Vietnam,26,130000,70000,57
XL3-1539718,36,11/10/18,11/09/21,11/12/14,132000,Gray,Vietnam,28,130000,95000,49
XL3-1524024,56,11/10/18,11/09/27,12/02/14,97000,Black,Vietnam,28,150000,70000,96
XL3-1257795,8,11/10/18,11/10/14,11/11/19,93902,Silver,Vietnam,28,150000,120000,11
XL3-1054263,52,11/10/21,11/10/04,12/01/26,121729,Pink,Vietnam,26,130000,75000,55
XL3-1535884,7,11/10/22,11/10/22,11/11/19,135294,Silver,Vietnam,27,130000,130000,8
XL3-1204356,23,11/10/22,11/10/13,12/01/06,98321,Black,Vietnam,27,130000,120000,26
XL3-1236548,20,11/10/25,11/10/20,11/12/07,104583,Blue,Vietnam,26,130000,95000,22
XL3-1128542,26,11/10/25,11/10/17,11/12/14,76000,Silver,Vietnam,28,130000,95000,53
XL3-1018069,22,11/10/25,11/10/22,11/12/27,93000,Silver,Laos,28,130000,105000,14
XL3-1251464,42,11/10/28,11/10/04,12/01/06,136503,Blue,Vietnam,29,110000,70000,96
XL3-1275370,8,11/10/29,11/10/21,11/11/19,131115,Silver,Cambodia,27,110000,90000,18
XL3-1267905,29,11/10/31,11/10/06,11/12/15,94146,Silver,Cambodia,30,150000,95000,20
XL3-1255611,64,11/10/31,11/10/02,12/02/14,129235,Black,Laos,28,150000,70000,42
XL3-1132334,69,11/11/01,11/09/28,12/02/14,124000,Blue,Vietnam,28,130000,85000,49
XL3-1242314,83,11/11/03,11/08/30,12/02/20,160042,Black,Laos,29,110000,80000,67
XL3-1094706,48,11/11/09,11/10/26,12/01/26,83200,Green,Vietnam,28,110000,90000,52
XL3-1501457,4,11/11/10,11/11/10,11/12/14,86281,Silver,Cambodia,28,110000,110000,4
XL3-1265194,17,11/11/12,11/10/29,11/12/14,150838,Silver,Cambodia,27,90000,80000,29
XL3-1279720,8,11/11/15,11/11/12,11/12/14,80000,Pink,Cambodia,28,110000,105000,5
XL3-1070522,66,11/11/17,11/10/10,12/02/20,81333,Silver,Cambodia,27,110000,90000,58
XL3-1266583,67,11/11/17,11/10/06,12/02/20,108585,Black,Brunei,28,130000,95000,27
XL3-1529485,18,11/11/18,11/11/10,12/01/26,137594,Gray,Vietnam,29,110000,100000,17
XL3-1076788,3,11/11/19,11/11/19,11/12/14,89845,Blue,Burundi,29,90000,90000,13
XL3-1243444,49,11/11/26,11/10/20,12/01/27,101051,Pink,Malawi,28,110000,70000,40
XL3-1118098,56,11/12/01,11/11/01,12/02/28,133340,Black,Vietnam,28,110000,70000,106
XL3-1028868,11,11/12/02,11/11/22,12/01/26,129998,Blue,Vietnam,28,110000,70000,14
XL3-1515298,59,11/12/03,11/10/19,12/02/24,86815,Blue,Vietnam,28,110000,80000,76
XL3-1223573,21,11/12/03,11/11/23,12/01/26,124735,Silver,Vietnam,28,90000,70000,18
XL3-1261279,24,11/12/03,11/11/13,12/02/14,83300,Blue,Vietnam,27,110000,100000,22
XL3-1214316,44,11/12/03,11/10/24,12/02/14,147134,Silver,Vietnam,28,90000,85000,29
XL3-1517686,48,11/12/08,11/11/29,12/02/20,117223,Gray,Vietnam,27,110000,100000,46
XL3-1565301,7,11/12/09,11/12/09,12/01/26,90678,Silver,Vietnam,27,110000,110000,2
XL3-1553528,18,11/12/10,11/11/29,12/02/14,133500,Silver,Vietnam,27,110000,90000,22
XL3-1265895,35,11/12/13,11/11/26,12/02/09,80660,Silver,Laos,28,130000,110000,43
XL3-1515165,28,11/12/20,11/11/22,12/02/14,91000,Blue,Vietnam,28,110000,90000,44
XL3-1241641,24,11/12/23,11/12/08,12/02/20,94809,Silver,Cambodia,28,110000,95000,15
XL3-1002202,30,11/12/24,11/12/24,12/02/24,150231,Silver,Vietnam,28,110000,95000,12
XL3-1513648,36,11/12/26,11/12/21,12/03/12,87082,Gray,Vietnam,29,130000,90000,41
XL3-1556739,27,11/12/27,11/12/10,12/02/23,85707,Gray,Vietnam,28,130000,115000,45
XL3-1057599,18,12/01/12,12/01/12,12/02/20,116748,Blue,Vietnam,28,110000,110000,19
XL3-1005783,14,12/01/19,12/01/17,12/02/20,90916,Blue,Vietnam,28,110000,105000,14
XL3-1510257,4,12/01/20,12/01/17,12/03/16,116919,Blue,Vietnam,28,110000,90000,8
XL3-1524437,16,12/01/20,12/01/11,12/04/07,107151,Blue,Vietnam,28,110000,80000,26
XL3-1519588,5,12/01/24,12/01/24,12/02/20,77625,Silver,Vietnam,28,110000,110000,7
XL3-1013398,46,12/01/27,11/12/28,12/03/31,34346,Silver,Laos,28,150000,60000,138
XL3-1515553,7,12/01/28,12/01/28,12/03/04,131849,Black,Bahamas,27,110000,110000,12
XL3-1561838,27,12/02/02,12/02/02,12/03/16,137452,Black,Malawi,28,110000,70000,19
XL3-1502864,32,12/02/02,12/01/27,12/04/11,71000,Blue,Vietnam,27,110000,80000,43
XL3-1153114,35,12/02/02,11/12/30,12/03/31,162040,Black,Chile,27,90000,60000,69
XL3-1009480,18,12/02/03,12/01/27,12/03/01,42068,Pearl,Laos,27,90000,65000,97
XL3-1534117,24,12/02/03,12/02/03,12/03/16,133770,Gray,Malawi,27,130000,90000,284
XL3-1531573,11,12/02/03,12/01/23,12/03/16,112750,Blue,Vietnam,27,110000,90000,15
XL3-1167332,14,12/02/04,12/01/27,12/03/15,169436,Blue,Vietnam,28,110000,90000,15
XL3-1528792,22,12/02/06,12/01/26,12/03/12,106804,White,Indonesia,28,110000,80000,17
XL3-1566626,12,12/02/07,12/02/02,12/03/16,103710,Silver,Vietnam,28,110000,75000,52
XL3-1030422,105,12/02/08,11/11/25,12/06/08,95938,Gray,Vietnam,29,110000,60000,96
XL3-1041186,40,12/02/09,12/01/19,12/04/24,72821,Silver,Vietnam,28,110000,80000,42
XL3-1270040,28,12/02/14,12/01/30,12/04/11,119248,Silver,Vietnam,28,90000,75000,31
XL3-1031218,43,12/02/14,12/01/02,12/04/18,110088,Silver,Indonesia,28,110000,80000,18
XL3-1012787,44,12/02/14,12/01/31,12/04/18,84149,Blue,Laos,28,110000,80000,39
XL3-1549817,70,12/02/14,12/02/07,12/05/30,55085,Silver,Vietnam,28,130000,50000,124
XL3-1537956,16,12/02/14,12/02/06,12/04/09,81540,Gray,Bahamas,28,110000,80000,40
XL3-1531421,24,12/02/16,12/02/04,12/03/26,117924,Blue,Cambodia,28,90000,60000,118
XL3-1525487,21,12/02/16,12/02/05,12/03/26,87842,Silver,Vietnam,28,110000,85000,6
XL3-1079799,23,12/02/18,12/02/11,12/03/26,94805,Silver,Laos,27,110000,85000,30
XL3-1106129,36,12/02/21,12/01/29,12/04/07,35999,Silver,Burundi,28,110000,70000,28
XL3-1245173,25,12/02/22,12/02/09,12/04/07,86404,Gray,Vietnam,29,110000,80000,20
XL3-1051810,60,12/02/22,12/01/08,12/05/22,99785,Silver,Vietnam,28,110000,75000,14
XL3-1549241,48,12/02/23,12/01/11,12/05/10,117242,Black,Vietnam,28,110000,65000,38
