Bike_id,Publish_period,End_Date,Departure_Date,Distance_travelled,Color,Country_Sold,N_Photos,Price,N_Inquires,is_sold
XL3-1095127,10,1301356800000000000,1305590400000000000,123525,Silver,Vietnam,27,110000,34,0.0
XL3-1095127,4,1301702400000000000,1305590400000000000,123525,Silver,Vietnam,27,90000,34,1.0
XL3-1123648,28,1302307200000000000,1307923200000000000,120000,Silver,Vietnam,28,110000,53,1.0
XL3-1139930,17,1302825600000000000,1308096000000000000,149374,Silver,Vietnam,27,130000,34,0.0
XL3-1139930,7,1303430400000000000,1308096000000000000,149374,Silver,Vietnam,27,110000,34,1.0
XL3-1277412,17,1301616000000000000,1310169600000000000,112167,Black,Vietnam,26,150000,58,0.0
XL3-1277412,21,1303430400000000000,1310169600000000000,112167,Black,Vietnam,26,110000,58,1.0
XL3-1513147,4,1302220800000000000,1312848000000000000,126000,Black,Vietnam,29,150000,20,0.0
XL3-1513147,18,1303776000000000000,1312848000000000000,126000,Black,Vietnam,29,120000,20,1.0
XL3-1146406,48,1307318400000000000,1317427200000000000,154117,Silver,Laos,28,150000,73,0.0
XL3-1146406,11,1308268800000000000,1317427200000000000,154117,Silver,Laos,28,115000,73,1.0
XL3-1174578,15,1302307200000000000,1310342400000000000,118231,Black,Vietnam,28,150000,76,0.0
XL3-1174578,20,1304035200000000000,1310342400000000000,118231,Black,Vietnam,28,100000,76,1.0
XL3-1187459,29,1305763200000000000,1308873600000000000,156797,Pink,Cambodia,27,150000,33,1.0
XL3-1565565,57,1304726400000000000,1321228800000000000,152682,Silver,Vietnam,27,140000,99,0.0
XL3-1565565,13,1305849600000000000,1321228800000000000,152682,Silver,Vietnam,27,90000,99,1.0
XL3-1040052,13,1306195200000000000,1310342400000000000,116000,Blue,Vietnam,27,130000,19,0.0
XL3-1040052,0,1306195200000000000,1310342400000000000,116000,Blue,Vietnam,27,120000,19,1.0
XL3-1194407,5,1304208000000000000,1310342400000000000,117445,Black,Vietnam,28,150000,29,0.0
XL3-1194407,24,1306281600000000000,1310342400000000000,117445,Black,Vietnam,28,110000,29,1.0
XL3-1192590,11,1303776000000000000,1312848000000000000,169969,Blue,Vietnam,27,150000,28,0.0
XL3-1192590,36,1306886400000000000,1312848000000000000,169969,Blue,Vietnam,27,135000,28,1.0
XL3-1121243,63,1305676800000000000,1317340800000000000,181326,White,Vietnam,27,130000,105,0.0
XL3-1121243,17,1307145600000000000,1317340800000000000,181326,White,Vietnam,27,70000,105,1.0
XL3-1231451,40,1307491200000000000,1312848000000000000,115107,Blue,Vietnam,27,150000,19,0.0
XL3-1231451,0,1307491200000000000,1312848000000000000,115107,Blue,Vietnam,27,120000,19,1.0
XL3-1239031,30,1305936000000000000,1320105600000000000,99128,Blue,Vietnam,28,110000,132,0.0
XL3-1239031,19,1307577600000000000,1320105600000000000,99128,Blue,Vietnam,28,80000,132,1.0
XL3-1190257,22,1307577600000000000,1312848000000000000,31164,Silver,Vietnam,28,130000,38,0.0
XL3-1190257,2,1307750400000000000,1312848000000000000,31164,Silver,Vietnam,28,110000,38,1.0
XL3-1182288,1,1307750400000000000,1311465600000000000,103476,Silver,New Zealand,28,130000,36,0.0
XL3-1182288,13,1308873600000000000,1311465600000000000,103476,Silver,New Zealand,28,110000,36,1.0
XL3-1166511,7,1307318400000000000,1312848000000000000,111005,Black,Cambodia,28,170000,24,0.0
XL3-1166511,21,1309132800000000000,1312848000000000000,111005,Black,Cambodia,28,120000,24,1.0
XL3-1204750,3,1308096000000000000,1312848000000000000,118660,Black,Vietnam,28,130000,42,0.0
XL3-1204750,15,1309392000000000000,1312848000000000000,118660,Black,Vietnam,28,110000,42,1.0
XL3-1187829,13,1306108800000000000,1317859200000000000,167841,Black,Vietnam,27,150000,69,0.0
XL3-1187829,47,1310169600000000000,1317859200000000000,167841,Black,Vietnam,27,100000,69,1.0
XL3-1230947,7,1308873600000000000,1317427200000000000,175035,Silver,Vietnam,27,130000,20,0.0
XL3-1230947,15,1310169600000000000,1317427200000000000,175035,Silver,Vietnam,27,115000,20,1.0
XL3-1562678,8,1309219200000000000,1315958400000000000,171000,Black,Vietnam,28,150000,17,0.0
XL3-1562678,14,1310428800000000000,1315958400000000000,171000,Black,Vietnam,28,120000,17,1.0
XL3-1000384,5,1311120000000000000,1318982400000000000,107356,Silver,Cambodia,26,150000,62,0.0
XL3-1000384,15,1312416000000000000,1318982400000000000,107356,Silver,Cambodia,26,110000,62,1.0
XL3-1225553,5,1313452800000000000,1316649600000000000,110500,Silver,New Zealand,27,130000,18,0.0
XL3-1225553,3,1313712000000000000,1316649600000000000,110500,Silver,New Zealand,27,110000,18,1.0
XL3-1021762,1,1313539200000000000,1315958400000000000,165490,Pink,Laos,27,110000,13,0.0
XL3-1021762,3,1313798400000000000,1315958400000000000,165490,Pink,Laos,27,100000,13,1.0
XL3-1534541,5,1312156800000000000,1321228800000000000,104787,Black,Laos,28,140000,83,0.0
XL3-1534541,37,1315353600000000000,1321228800000000000,104787,Black,Laos,28,120000,83,1.0
XL3-1217862,14,1315180800000000000,1320105600000000000,117508,Silver,Vietnam,27,150000,48,0.0
XL3-1217862,8,1315872000000000000,1320105600000000000,117508,Silver,Vietnam,27,130000,48,1.0
XL3-1247930,21,1315180800000000000,1321228800000000000,120830,Black,Vietnam,28,130000,41,0.0
XL3-1247930,10,1316044800000000000,1321228800000000000,120830,Black,Vietnam,28,115000,41,1.0
XL3-1230859,18,1317340800000000000,1320105600000000000,162899,Silver,Vietnam,28,90000,57,1.0
XL3-1239127,16,1317340800000000000,1320105600000000000,64009,Silver,Vietnam,28,150000,14,1.0
XL3-1015709,59,1318291200000000000,1327881600000000000,147106,Silver,Vietnam,26,130000,57,0.0
XL3-1015709,6,1318809600000000000,1327881600000000000,147106,Silver,Vietnam,26,70000,57,1.0
XL3-1539718,9,1316563200000000000,1323820800000000000,132000,Gray,Vietnam,28,130000,49,0.0
XL3-1539718,27,1318896000000000000,1323820800000000000,132000,Gray,Vietnam,28,95000,49,1.0
XL3-1524024,35,1317081600000000000,1329177600000000000,97000,Black,Vietnam,28,150000,96,0.0
XL3-1524024,21,1318896000000000000,1329177600000000000,97000,Black,Vietnam,28,70000,96,1.0
XL3-1257795,4,1318550400000000000,1321660800000000000,93902,Silver,Vietnam,28,150000,11,0.0
XL3-1257795,4,1318896000000000000,1321660800000000000,93902,Silver,Vietnam,28,120000,11,1.0
XL3-1054263,35,1317686400000000000,1327536000000000000,121729,Pink,Vietnam,26,130000,55,0.0
XL3-1054263,17,1319155200000000000,1327536000000000000,121729,Pink,Vietnam,26,75000,55,1.0
XL3-1535884,7,1319241600000000000,1321660800000000000,135294,Silver,Vietnam,27,130000,8,1.0
XL3-1204356,14,1318464000000000000,1325808000000000000,98321,Black,Vietnam,27,130000,26,0.0
XL3-1204356,9,1319241600000000000,1325808000000000000,98321,Black,Vietnam,27,120000,26,1.0
XL3-1236548,15,1319068800000000000,1323216000000000000,104583,Blue,Vietnam,26,130000,22,0.0
XL3-1236548,5,1319500800000000000,1323216000000000000,104583,Blue,Vietnam,26,95000,22,1.0
XL3-1128542,18,1318809600000000000,1323820800000000000,76000,Silver,Vietnam,28,130000,53,0.0
XL3-1128542,8,1319500800000000000,1323820800000000000,76000,Silver,Vietnam,28,95000,53,1.0
XL3-1018069,19,1319241600000000000,1324944000000000000,93000,Silver,Laos,28,130000,14,0.0
XL3-1018069,3,1319500800000000000,1324944000000000000,93000,Silver,Laos,28,105000,14,1.0
XL3-1251464,18,1317686400000000000,1325808000000000000,136503,Blue,Vietnam,29,110000,96,0.0
XL3-1251464,24,1319760000000000000,1325808000000000000,136503,Blue,Vietnam,29,70000,96,1.0
XL3-1275370,0,1319155200000000000,1321660800000000000,131115,Silver,Cambodia,27,110000,18,0.0
XL3-1275370,8,1319846400000000000,1321660800000000000,131115,Silver,Cambodia,27,90000,18,1.0
XL3-1267905,4,1317859200000000000,1323907200000000000,94146,Silver,Cambodia,30,150000,20,0.0
XL3-1267905,25,1320019200000000000,1323907200000000000,94146,Silver,Cambodia,30,95000,20,1.0
XL3-1255611,35,1317513600000000000,1329177600000000000,129235,Black,Laos,28,150000,42,0.0
XL3-1255611,29,1320019200000000000,1329177600000000000,129235,Black,Laos,28,70000,42,1.0
XL3-1132334,35,1317168000000000000,1329177600000000000,124000,Blue,Vietnam,28,130000,49,0.0
XL3-1132334,34,1320105600000000000,1329177600000000000,124000,Blue,Vietnam,28,85000,49,1.0
XL3-1242314,18,1314662400000000000,1329696000000000000,160042,Black,Laos,29,110000,67,0.0
XL3-1242314,65,1320278400000000000,1329696000000000000,160042,Black,Laos,29,80000,67,1.0
XL3-1094706,34,1319587200000000000,1327536000000000000,83200,Green,Vietnam,28,110000,52,0.0
XL3-1094706,14,1320796800000000000,1327536000000000000,83200,Green,Vietnam,28,90000,52,1.0
